Accession Number,Additional Notes,Alternate Term(s),Alternate Title,Artist,Brief Bio,Category,Class,Classification,Collected By,Collection Method,Collector Number,Common Name,Conservation,Creator,Credit Line,Cultural Region,Culture,Culture/Nationality,Date Collected,Date Made,Date Recorded,Definition,Description,Determined By,Diet Info,Division,Edition Number,Elevation,Family,Formation,Gender and Age,Genre/Form,Genus,Geologic Age,Habitat,Identification,Index/Track No.,Inscriptions and Colophons,Instrument,Kingdom,Lead Collector(s),Life History,Location,Materials,Materials Glossary,Materials and Techniques,Measurements,Microhabitat,Name,Nationality,Object Type,Order,Other Collector(s),Performer,Period,Phylum,Place Collected,Place Collected Details,Place Made,Place Recorded,Preparation Type,Preparation(s),Range,Recording Equipment,Scientific Name,Scientific Name Authority,Seasonality,Species,Specimen Name,Subclass,Suborder,Subspecies,Subspecies Authority,Superfamily,Term,Title,Type,Variety,Variety Authority,Website,image_url,url
UADBG-B-16904,,,,,,,,,,,24424,,,,,,,,1997-07-07,,,,,Tong Chao,,,,1640 m,,,,,,,"Picea-Abies-Betula dark conifer forest, about 430 years old with 80% canopy light, about 5% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,on log,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, opposite Chinese plot 3",,,,,,,Entodon sullivantii,(C. Müll.) Lindb.,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-179864
2005.5.518,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk brocade,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 73.5 cm x 409 cm,,,,yardage,,,,Qing 20th century,,,,China,,,,,,,,,,,,,,,,,Silk Brocade Yardage,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_518_ve_g01_s23-01v01.jpg,https://search.museums.ualberta.ca/21-19740
2000.12.1,,,,"Wong, Ben Kui-Hung",,,,,,,,,,,Transfer from the Department of Art and Design,,,Chinese,,1993,,,,,,,,,,,,,,,,,,,,,,,,colour on handmade paper; frottage,,,overall: 85 cm x 85 cm,,,,print,,,,,,,,,,,,,,,,,,,,,,,,,What,,,,,,https://search.museums.ualberta.ca/11-10763
2004.19.1.1.9,,,"Chaozhu, or pearl and coral court necklaces",unknown,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1759,,,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the right leaf of one folio (attached to 2004.19.1.8) depicting three beaded court necklaces.  The Chinese script describes the pictorial content of the painting and is translated as  ""illustration of beaded court necklace chaozhu for the Empress Dowager and Empress"".",,,,,,,,,,,,,,,"皇太后 皇后朝珠圖 Translation of the Chinese text: ""Illustration of Beaded court necklace chaozhu for the Empress Dowager and Empress"" 
On the reverse ""(59)"" is handwritten in pencil on the upper left corner. … 

													皇太后 皇后朝珠圖 Translation of the Chinese text: ""Illustration of Beaded court necklace chaozhu for the Empress Dowager and Empress"" 
On the reverse ""(59)"" is handwritten in pencil on the upper left corner.  Below the pencil number is a black ink marking. 
Read More +",,,,,,ink; silk; paper,,,sheet: 42.2 cm x 40.9 cm; image: 30.9 cm x 33.8 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Album Leaf from Illustrations of Costumes from the Qianlong Court,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_009_s21-03v01.jpg,https://search.museums.ualberta.ca/21-20154
2005.5.587.1,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1875-1908,,,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This rank badge features a flycatcher, representing a ninth rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird or beast was seen on rank badges. The bird perches on rocks, surrounded with bamboo and cherry blossoms. The badge is adorned with counted stitch embroidery on silk gauze.",,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; linen; silk; silver wrapped silk thread; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,,,,,rank badge,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Front Panel of a Rank Badge for a Ninth Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_587_001_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-20679
2010.20.1.5.2,,,,Gao Jin,,published works,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1771,,,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volume 26, Chapter 63-65. Sidian [Sacrificial rites]. Woodblock printed, thread binding.",,,,,,,,,,,,,,,,,,,,,"printed woodblock, thread binding",,,overall: 29.8 cm x 20.5 cm,,,,book,,,,,,,,China: Beijing,,,,,,,,,,,,,,,,,"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",,,,,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_005_002_s20-02v01.jpg,https://search.museums.ualberta.ca/21-23704
2005.5.568.1,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1862-1874,,,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; ink; tapestry weave; linen; silk; silver wrapped silk thread,,,,,,,rank badge,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Front Panel of a Rank Badge for a Fifth Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_568_001_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-20714
CCE1998.2.14-19,,,,,,compact disk: commercial recording,,,,,,,,,Donated by Dr. Regula B. Qureshi,,"North American, Canadian, Chinese",,,,1997,,Lu Xiu Tang.,,,,,,,,,Chinese Classical,,,,,19,,erhu,,,,,,,,,,,,,,,"Qiang, Lei",,,,,,Xian,,,,,,,,,,,,,,,,Nostalgia,,,,,,https://search.museums.ualberta.ca/31-65140
2005.5.639.1,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1662-1722,,,(bird looking right),,,,,,,,,,,,,,,,,,,,,silk floss; silk twill; metallic thread; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 136.5 cm x 51.9 cm,,,,chair cover,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Embroidered Silk Chair Cover,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_639_001_re_m01_s20-02v01.jpg,https://search.museums.ualberta.ca/21-20809
1995.15.12.b,,,,,,Personal Symbol,,,,,,,,,Donated by Ann Dea,East Asian,East Asian,,,1920s-1930s,,,"Embroidered square, bordered with pink fruit, blue and gold centre field features  Chinese fret incorporating the 'won' (swastika) motif with over costmic landscape  with 2 purple and green bats .  Embroidered blue flower in the center is appliqued on top of background embroidery. Made of two halves joined in the centre.",,,,,,,,,,,,,,,,,,,,,,,silk; embroidered,overall: 29.5 x 28.5 cm,,,,badge,,,,,,,,Asia: China,,,,,,,,,,,,,,,,,Chinese embroidered rank badge,,,,,,https://search.museums.ualberta.ca/13-44387
2005.5.621.4,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,"This late Qing collar, made from a light blue silk damask with a floral pattern, was designed to be worn as a part of an official’s attire.The short  standing collar is attached to a front placket and a back yoke, with two simple frog closures at the chest. This separate collar was worn as a form of underwear that could be laundered easier than a robe or surcoat.",,,,,,,,,,,,,,,,,,,,,brass; cotton; paper; silk; silk damask; silk satin,"Damask											
											 
												
												
													
														View Materials Glossary Details »",,overall: 66 cm x 30.8 cm,,,,collar,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Collar,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_621_004_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-21038
2005.5.387.2,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,polyester; brocade ribbon,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall:,,,,cover,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Circular Fan Cover,,,,,,https://search.museums.ualberta.ca/21-21022
2005.5.542,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1573-1619,,,,,,,,,,,,,,,,,,,,,,,,metallic thread; silk brocade; silk satin,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 224.3 cm x 15.2 cm,,,,banner,,,,Ming 16th-17th centuries,,,,China,,,,,,,,,,,,,,,,,Silk Brocade Fragmentary Banner,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_542_ve_s23-01v01.jpg,https://search.museums.ualberta.ca/21-19764
2005.5.347,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1736-1795,,,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a crane, which is identified by its red crown and white feathers. The crane is standing on a rock amidst multi-coloured waves, pink peonies, trees, and clouds. The motifs on these badges have been rendered in tapestry weave with a brilliant gold background. The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. The sun on the left side of these badges indicates that the wearer was male.",,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; ink; linen; silk; tapestry weave; glass; wood,,,overall: 44.2 cm x 90.5 cm x 1.7 cm,,,,rank badge,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Front and Back Panels of a Rank Badge for a First-Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_347_002_re_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19569
2004.19.79.1,,,,Zhu Sheng,,paintings,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1681,,,,,,,,,,,,,,,,,,,,,,,,ink on silk,,,,,,,hanging scroll,,,,Qing 17th century,,,,China,,,,,,,,,,,,,,,,,Rocks and Stream in Bamboo Grove,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_079_001_m01_alt_edit_s23-01v01.jpg,https://search.museums.ualberta.ca/21-20460
2005.5.420,,,Valance from an altar table frontal,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1573-1619,,,,,,,,,,,,,,,,,,,,,,,,silk floss; silk gauze; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 30 cm x 166.5 cm,,,,panel,,,,Ming 16th-17th centuries,,,,China,,,,,,,,,,,,,,,,,Pleated Silk Gauze Panel,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_420_ve_g03_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19642
2004.19.58.4,,,Loquats,Chen Zhuan,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1722,,,A painting of loquats,,,,,,,,,,,,,,,"Four columns of calligraphy in black ink, upper left, with a red square seal.",,,,,,ink; paper,,,sheet: 30.1 cm x 38.4 cm; image: 24.9 cm x 31.1 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,"Album Leaf from Flowers, Fruits, and Fish",,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_058_004_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19922
UADBG-B-17258,,,,,,,,,,,24790,,,,,,,,1997-06-09,,,,,Tong Chao,,,,1340 m,,,,,,,"Closed crown coniferous forest, Pinus dominated Picea-Abies-Larix dark conifer forest, about 255 years old with 95% canopy light, about 7% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,on base of snag,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; along road up to Mount Changbai summit, Chinese plot 2",,,,,,,Thuidium philibertii,Limpr.,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-178873
2009.8.6,,,,unknown,,textiles,,,,,,,,,Gift of Jean Small,,Chinese,,,1875-1900,,,,,,,,,,,,,,,,,,,,,,,,blue silk embroidered with metal-wrapped threads and silk,embroidery; Chinese; robe; woman; flower; figure,,overall: 99 cm x 106.6 cm,,,,robe,,,,,,,,China,,,,,,,,,,,,,,,,,Embroidered Blue-Black Silk Robe for a Woman,,,,,https://media.museums.ualberta.ca/UAAC/ppt/2009/09_008_006s01v01d02.jpg,https://search.museums.ualberta.ca/21-22443
UADBG-B-16821,,,,,,,,,,,24333,,,,,,,,1997-07-07,,,,,Tong Chao,,,,1620 m,,,,,,,"Closed crown coniferous forest, Picea-Abies-Larix dark conifer forest, about 255 years old with 60% canopy light and lots of moss",,,,,,René J. Belland,,,,,,,on base of trunk,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, west side of road to Chinese plot 3",,,,,,,Pylaisiella polyantha,(Hedw.) Grout,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-179793
2005.5.28,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1736-1795,,,,,,,,,,,,,,,,,,,,,,,,silk brocade; linen; silk,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 160.8 cm x 52.9 cm,,,,chair cover,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Red Silk Brocade Chair Cover,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_028_m01_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19250
