Subject,Predicate,Object,ObjectLabel
S2003.8.2955,标题,Tôsen,title
F1932.34,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
F1907.310,对象类型,Vessel,type
nan,标题,Tianjin: Alice Roosevelt boarding the train from Port of Tianjin to Beijing,title
F1915.274,制作时间,1615-1868,date
S2003.8.2590,捐赠来源,Robert O. Muller Collection,donor
S1987.581,捐赠来源,Gift of Arthur M. Sackler,donor
S2003.8.1187,制作时间,1881,date
S2003.8.3704,制作时间,20th century,date
S2003.8.1378,对象类型,Print,type
FSC-P-5699,标题,Sherd,title
S2003.8.286,对象类型,Print,type
FSC-P-4973,对象类型,Vessel,type
S2003.8.3689,标题,Birds,title
S2003.8.3380,标题,Landscape,title
S2003.8.1635,捐赠来源,Robert O. Muller Collection,donor
F1913.46a-c,制作时间,ca. 1909,date
S2003.8.2461,捐赠来源,Robert O. Muller Collection,donor
F1916.658,对象类型,Costume and Textile,type
FSC-P-4559,对象类型,Vessel,type
FSC-P-4370,标题,Fragment of a bowl,title
F1917.440,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.1516,标题,Ancient Tales/,title
S2007.35,对象类型,Costume and Textile,type
F1913.178,制作时间,1644-1911,date
FSC-P-3469,标题,Pottery: Unidentified form,title
F2019.3.21a-e,捐赠来源,"The Mary and Cheney Cowles Collection, Gift of Mary and Cheney Cowles",donor
S2003.8.2259,捐赠来源,Robert O. Muller Collection,donor
FSC-P-5707,对象类型,Vessel,type
FSC-P-6581,标题,Bowl,title
S2003.8.517,制作时间,1936-1938,date
S2003.8.3705,标题,Hokkaidō Government Office in Snow 雪の道庁,title
FSC-P-5815,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.1282,制作时间,1895,date
F1937.13,对象类型,Manuscript,type
S2003.8.449,制作时间,1935,date
S2003.8.1915,对象类型,Print,type
F2016.20.14a-f,制作时间,1615-1868,date
FSC-MS-44,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.518,制作时间,1936-1938,date
F1899.99,捐赠来源,Gift of Charles Lang Freer,donor
nan,标题,"(19) Priests in Ikegami Temple, splendid with red and gold - boxes hold Buddhist scriptures, Omori, Japan",title
F1956.33b,制作时间,1926-1956,date
S2003.8.1479,标题,Woman on the veranda,title
FSC-P-4321,对象类型,Vessel,type
nan,标题,Tokyo: Principle Street Ginza,title
FSC-P-5710,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.3029,制作时间,1886,date
S2003.8.3205,制作时间,ca. 1917-1923,date
S2003.8.2322,对象类型,Print,type
F1998.5,标题,A manuscript of theGulistan(Rosegarden) by Sa'di; Sa'di in a Rose garden,title
S2003.8.1654,标题,Making The Final Report,title
F1953.27,标题,Shah 'Abbas and cup bearer,title
FSC-P-4294,标题,Fragment of a bowl,title
FSC-P-5732,制作时间,15th-17th century,date
S2003.8.3290,制作时间,1903/11/3,date
S2003.8.2151,捐赠来源,Robert O. Muller Collection,donor
FSC-P-6443,对象类型,Vessel,type
F1939.64a-b,制作时间,attributed to 1620 but likely 19th-early 20th century,date
FSC-P-6312,捐赠来源,Gift of Victor and Takako Hauge,donor
S2019.3.990,标题,Birds on the Leaves,title
FSC-P-6652,捐赠来源,Gift of Victor and Takako Hauge,donor
S2018.43a-c,对象类型,Ceremonial Object,type
nan,标题,Untitled [Woman with umbrella in snow],title
S2003.8.1312,对象类型,Print,type
S2003.8.1004,对象类型,Print,type
S2003.8.2268,制作时间,20th century,date
S2003.8.1577,对象类型,Print,type
FSC-P-4958,对象类型,Vessel,type
S2003.8.2889,制作时间,1898,date
FSC-O-48,标题,Bone fragment,title
S2012.9.3214,对象类型,Vessel,type
FSC-P-4490,对象类型,Vessel,type
S2003.8.2718,制作时间,1868-1900,date
F1911.609,标题,Cushion cover,title
F2007.8a-e,标题,Autumn landscape,title
S2013.2.41,制作时间,early 1st century,date
S2003.8.3480,标题,"From Daitenjōdake, from the series Twelve Scenes of the Japan Alps 日本アルプス十二題の内　大天井岳より",title
S2003.8.745,标题,"Shinagawa, from the series Selection of views of the Tokaido",title
FSC-P-5300,标题,Fragment of an unidentified vessel,title
FSC-P-5479,标题,Fragment of an unidentified vessel,title
FSC-P-4434,对象类型,Vessel,type
S2003.8.2050,制作时间,ca. 1926,date
S2003.8.2884,捐赠来源,Robert O. Muller Collection,donor
F1907.86.3,制作时间,late 19th century,date
S2003.8.2266,对象类型,Print,type
F1993.15.12,标题,Stamp seal,title
FSC-P-4447,对象类型,Vessel,type
F1945.17,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
S2003.8.3587,对象类型,Print,type
F2021.4.14a-c,对象类型,Painting,type
FSC-P-4944,标题,Sherd,title
S2003.8.3361,制作时间,early 20th century,date
FSC-P-3846,捐赠来源,Gift of John C. Shaw,donor
F1915.27a-b,制作时间,1910,date
S2003.8.1339,制作时间,October 1894,date
F1905.259,标题,A Shinto ceremony,title
FSC-P-6336,标题,Sherd,title
S2003.8.1463,标题,Woman writing,title
S2003.8.1429,捐赠来源,Robert O. Muller Collection,donor
S2014.3,制作时间,"2005-2006, printed 2013",date
S2003.8.2244,捐赠来源,Robert O. Muller Collection,donor
F2017.12,对象类型,Vessel,type
FSC-P-7003a-r,对象类型,Vessel,type
S2003.8.570,捐赠来源,Robert O. Muller Collection,donor
F2016.20.9a-b,标题,Cord for tying ornamental knot around jar neck in gyō style (gyō nagao),title
S2003.8.74,捐赠来源,Robert O. Muller Collection,donor
FSC-P-6323,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.1661,标题,Island Landscape,title
S2003.8.3378,对象类型,Print,type
S2003.8.1632,对象类型,Print,type
S2003.8.136,对象类型,Print,type
FSC-GR-705.26,制作时间,"1855, 7th month",date
S2014.11.1,制作时间,1860-1865,date
FSC-P-3842,对象类型,Vessel,type
S2003.8.1479,制作时间,late 19th-early 20th century,date
F1947.15a-b,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
FSC-P-3217,捐赠来源,Gift of John A. Pope,donor
F1901.188,对象类型,Print,type
F1911.475,标题,Welcoming Descent of the Buddha of Infinite Light and Twenty-Five Bodhisattvas,title
F1930.86,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
FSC-P-3468,对象类型,Vessel,type
FSC-P-5444,制作时间,15th-17th century,date
S2003.8.2284,对象类型,Print,type
F1917.415,捐赠来源,Gift of Charles Lang Freer,donor
FSC-L-60a-i,对象类型,Container,type
S2003.8.1695,制作时间,"February 13, 1896",date
FSC-P-6611,捐赠来源,Gift of Victor and Takako Hauge,donor
S1997.87,标题,"Folio from a Qur'an, Sura 74:56; Sura 75:1",title
F1937.20,标题,Detached album folio; Horse and groom; reverse: text,title
F1917.118,对象类型,Costume and Textile,type
S2003.8.1943,对象类型,Print,type
S2011.11,制作时间,Second half of the 18th century,date
FSC-P-6589,制作时间,15th-17th century,date
S2003.8.2328,标题,Snow at Dusk,title
S2007.2a-c,对象类型,Print,type
FSC-P-6622,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.624,制作时间,1921,date
nan,标题,"Garden at Firozpur, India Spring Enclosure",title
S2003.8.3393,标题,"Moonlit night, from the series View of Four Seasons",title
S2003.8.1522,标题,Tamamo no Mae Approacing the Altar in the Garden of the Palace of Toba Tenno,title
FSC-P-5790,标题,Sherd,title
FSC-T-41a-c,标题,Silk textile (fukusa) used in tea ceremony,title
S2003.8.775,对象类型,Print,type
nan,标题,Two Courtesans in Elaborate Hairdos,title
S2003.8.1109,捐赠来源,Robert O. Muller Collection,donor
FSC-P-3453,对象类型,Vessel,type
FSC-P-6974a-c,标题,Ash basin for ro use,title
F2016.20.5a-b,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
FSC-P-5027,标题,Sherd,title
S2003.8.1097,对象类型,Print,type
S2003.8.1952,制作时间,1900s,date
S2003.8.764,对象类型,Print,type
S2003.8.2465,捐赠来源,Robert O. Muller Collection,donor
S2003.8.2327,制作时间,1915,date
S1987.307,制作时间,ca. 550-500 BCE,date
S2003.8.2915,对象类型,Print,type
S2003.8.941,标题,Kiko Temple (Nara Prefecture),title
S2003.8.2439,捐赠来源,Robert O. Muller Collection,donor
nan,标题,Kobe: William H. Taft and Alice Roosevelt passing cheering crowds on the Bund,title
S2003.8.2882,捐赠来源,Robert O. Muller Collection,donor
S2003.8.1969,对象类型,Print,type
S2013.2.7,标题,"Cup with two encircling ridges on stem, fragment",title
S2019.3.30,标题,Enclosures 33,title
S2019.3.37,捐赠来源,Purchase and partial gift of the Kenneth and Kiyo Hitch Collection from Kiyo Hitch with funds from the Mary Griggs Burke Endowment,donor
S2003.8.2954,对象类型,Print,type
S2003.8.1393,捐赠来源,Robert O. Muller Collection,donor
S2003.8.458,标题,"Shirahone hot spring, Shinshu",title
F1915.265,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.235,制作时间,1910,date
S2020.5.21,捐赠来源,The Alice S. Kandell Collection,donor
S2003.8.1436,标题,Spirit of the Sea,title
S1995.49,对象类型,Photograph,type
S2003.8.266,制作时间,1923,date
F2023.3.28,对象类型,Painting,type
S2003.8.2227,标题,Spider Hanging from Flowering Branch,title
S2013.2.15,制作时间,late 8th-late 6th century BCE,date
S2003.8.611,捐赠来源,Robert O. Muller Collection,donor
F1916.640,制作时间,1615-1868,date
S1995.65,对象类型,Photograph,type
S2003.8.2464,对象类型,Print,type
F1903.301a-b,对象类型,Painting,type
S2003.8.1027,捐赠来源,Robert O. Muller Collection,donor
S2003.8.1650,制作时间,"February 5, 1899",date
FSC-P-6647,制作时间,15th-17th century,date
FSC-P-5363,对象类型,Vessel,type
S2003.8.1453,捐赠来源,Robert O. Muller Collection,donor
S2003.8.1285,标题,Skinning people,title
S2003.8.2771,标题,"Nijo castle, Kyoto",title
F1913.157,标题,"Cover (chair) a dragon, pearl, waves, and clouds",title
S2003.8.1133,对象类型,Print,type
S2018.1.47,制作时间,ca. 1700,date
FSC-P-3461,标题,Pottery: Unidentified form,title
S2003.8.1668,制作时间,ca. 1890-1910,date
F1930.86,对象类型,Manuscript,type
S2003.8.2547,捐赠来源,Robert O. Muller Collection,donor
nan,标题,Tokyo:Garden Street at Shiba,title
S2021.5.135,制作时间,"1816, intercalary 8th month",date
FSC-L-46.1a-b-5a-b,标题,Lidded lacquer broth cups (set of five),title
S2006.20,捐赠来源,Gift of Guido Goldman,donor
F1915.303,对象类型,Costume and Textile,type
S2003.8.1575,对象类型,Print,type
S2003.8.2860,标题,"Yōrō, from the series One Hundred Nō Plays",title
F1950.5,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
S2003.8.3300,制作时间,1903/11,date
FSC-P-6525,标题,Sherd,title
S2003.8.3339,对象类型,Print,type
F1953.37,制作时间,mid-17th century,date
S2014.20,制作时间,Second half of the 15th century,date
S2003.8.3145,捐赠来源,Robert O. Muller Collection,donor
S2003.8.3117,制作时间,ca. 1910,date
S2003.8.3466,标题,"Morning of Abuto, from the series The Inland Sea, Second Series",title
S2003.8.460,制作时间,1934,date
F1907.127,对象类型,Painting,type
FSC-P-5376,标题,Fragment of part of the base and lower wall of an unidentified vessel,title
S2003.8.856,捐赠来源,Robert O. Muller Collection,donor
S2019.3.982,对象类型,Print,type
S2003.8.2393,制作时间,1929-1932,date
S2003.8.1174,制作时间,ca. 1881,date
S2003.8.3499,捐赠来源,Robert O. Muller Collection,donor
S1992.69,对象类型,Painting,type
S2003.8.1785,对象类型,Print,type
S2013.2.17,制作时间,late 8th-late 6th century BCE,date
FSC-P-5799,对象类型,Vessel,type
FSC-P-5322,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.3525,标题,"The Kengamine Summit, from the series Ten Views of Fuji 富士拾景 山頂劒ヶ峰",title
S2003.8.2723,标题,"Story Of Brave Heroes, Ichikawa Danjuro",title
F1935.15,制作时间,6th or 7th century,date
S2003.8.2329,对象类型,Print,type
FSC-P-4946,对象类型,Vessel,type
S2003.8.960,对象类型,Print,type
FSC-P-4897,捐赠来源,Gift of Victor and Takako Hauge,donor
S2014.3,标题,"A Long Wait, from >Border series",title
F1918.154b,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.1735,标题,Flower,title
S2003.8.722,制作时间,1930,date
F1911.269,对象类型,Costume and Textile,type
S2018.24.6,制作时间,1875-1899,date
S2003.8.2560,标题,Tipsy Geisha,title
S2003.8.448,捐赠来源,Robert O. Muller Collection,donor
S2004.80,对象类型,Costume and Textile,type
S2003.8.770,制作时间,1932,date
F1939.70a-b,制作时间,"probably mid-18th century, or later",date
S2003.8.1946,对象类型,Print,type
nan,标题,Tokyo: Shinobazu Pond in Ueno,title
S2003.8.64,捐赠来源,Robert O. Muller Collection,donor
S2003.8.232,制作时间,1910,date
S2003.8.1817,制作时间,after 1926,date
S2003.8.1533,捐赠来源,Robert O. Muller Collection,donor
S2003.8.1425,制作时间,1895,date
S2017.19,制作时间,2011,date
F2001.8a-d,捐赠来源,Purchase — funds provided by the Friends of the National Museum of Asian Art,donor
FSC-P-6527,捐赠来源,Gift of Victor and Takako Hauge,donor
F1939.58a-b,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
S2003.8.816,标题,"Lingering snow at Hikone Castle, from the series Selection of views of the Tokaido",title
F1916.654,制作时间,18th century,date
FSC-P-3843,对象类型,Vessel,type
S2003.8.3240,捐赠来源,Robert O. Muller Collection,donor
S1992.51,捐赠来源,Gift of Dr. David R. Nalin,donor
FSC-GR-705.54,对象类型,Print,type
S2003.8.907,对象类型,Print,type
S1987.14,捐赠来源,Gift of Arthur M. Sackler,donor
S2003.8.2758,制作时间,1869,date
S2003.8.140,捐赠来源,Robert O. Muller Collection,donor
FSC-P-6645,对象类型,Vessel,type
F1956.11,制作时间,1263,date
S2003.8.2548,标题,Steam Bath 湯気,title
F1900.63,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.2019,对象类型,Print,type
nan,标题,Photo album of Travel in Japan,title
F1905.79,捐赠来源,Gift of Charles Lang Freer,donor
F1939.56,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
FSC-P-6989a-i,对象类型,Vessel,type
S2003.8.2056,标题,Fireflies,title
FSC-P-4497,捐赠来源,Gift of Mr. and Mrs. Victor Hauge,donor
S2003.8.378,对象类型,Print,type
F1916.652,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.1349,标题,"Braving bitter cold, our troops set up camp at Yingkou",title
S2003.8.620,捐赠来源,Robert O. Muller Collection,donor
FSC-P-4931,制作时间,15th-17th century,date
nan,标题,"1430 Kintai bashi bridge, Iwakuni",title
FSC-P-6489,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.1418a-c,对象类型,Print,type
S1995.69,捐赠来源,Gift of Lois Conner in honor of her parents,donor
FSC-P-4463,制作时间,11th-13th century,date
S2003.8.646,制作时间,1922,date
F1901.174,捐赠来源,Gift of Charles Lang Freer,donor
F2023.3.18a-j,制作时间,1870s,date
S2003.8.360,制作时间,1919-1926,date
S2003.8.3691,捐赠来源,Robert O. Muller Collection,donor
S2003.8.2383,对象类型,Print,type
F1909.201,制作时间,late 17th-18th century,date
nan,标题,Myron Bement Smith Collection,title
S2003.8.356,标题,Bird in Flight,title
F1942.8a-h,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
nan,标题,"Lotus Bloom Pool, sections, Babur's Lotus Garden, Dholpur",title
S2003.8.1305,对象类型,Print,type
S2012.9.4309,捐赠来源,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",donor
S2003.8.1622,对象类型,Print,type
S2003.8.2273,标题,Heaven-striking Wave,title
S2003.8.626,对象类型,Print,type
S2021.1.52,标题,Unidentified interior scene,title
F1993.15.22,捐赠来源,Anonymous gift,donor
S2003.8.3030,对象类型,Print,type
nan,标题,Jolo: Watching preparations for a bull fight,title
F1912.104,对象类型,Vessel,type
S2003.8.2636,标题,Onoe Kikugoro and Ichikawa Sadanji,title
F1905.318,对象类型,Print,type
S2003.8.499,标题,Crow on a Branch,title
FSC-T-50a-c,制作时间,late 20th-early 21st century,date
S2003.8.2208,对象类型,Print,type
S2013.2.77.1,对象类型,Sculpture,type
S2003.8.3203,标题,"The Devil’s Bridge, Switzerland",title
S2003.8.3833.30,标题,"Dish for ink or pigment, from a set of tools for carving blocks and printing wood-block prints",title
F1916.407,捐赠来源,Gift of Charles Lang Freer,donor
F1887.11,制作时间,ca. 1880-1881,date
S1995.58,制作时间,1986,date
nan,标题,"(95) Crossing the lake on stepping-stones (N.E. to model of Fujiyama), Suizenji Park, Kumamoto, Japan",title
F1911.366.1,对象类型,Vessel,type
F1915.50a-b,制作时间,mid 13th century,date
FSC-P-4407,捐赠来源,Gift of Mr. and Mrs. Victor Hauge,donor
FSC-P-4365,捐赠来源,Gift of Mr. and Mrs. Victor Hauge,donor
F1905.306,标题,Dish with molded decoration,title
S2003.8.1322,对象类型,Print,type
S2003.8.2286,对象类型,Print,type
FSC-T-48a-c,标题,Silk textile (fukusa) used in tea ceremony,title
F2007.11,制作时间,early 17th century,date
S2018.2.64,捐赠来源,"Purchase and partial gift from the Gloria Katz and Willard Huyck Collection — Acquisition fund in honor of Julian Raby, director emeritus of the National Museum of Asian Art",donor
FSC-P-6427,标题,Sherd,title
S2003.8.1060,对象类型,Print,type
F1945.19,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
FSC-P-5360,制作时间,15th-17th century,date
S1987.1045,标题,Pig Wall,title
F1932.37,对象类型,Manuscript,type
S2006.10,制作时间,mid 19th century,date
S2003.8.1014,制作时间,1930's,date
FSC-L-60a-i,制作时间,1980-1989,date
S2003.8.3731,对象类型,Print,type
S2003.8.850,捐赠来源,Robert O. Muller Collection,donor
S2003.8.2920,标题,The Blind Priest Semimaru And His Sister,title
S2010.18.140,捐赠来源,Bequest of Charles H.W. Verbeck,donor
F1897.86,制作时间,late 14th-early 15th century,date
F1900.64,标题,Seto ware bottle,title
FSC-P-6327,制作时间,15th-17th century,date
F1907.63,对象类型,Vessel,type
FSC-T-4,标题,Album of silk samples used on Freer paintings,title
S2003.8.1948,捐赠来源,Robert O. Muller Collection,donor
S1995.118.4,对象类型,Print,type
F1902.211,标题,White Raku tea bowl with facets,title
FSC-P-5001,标题,Sherd,title
FSC-P-5365,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.136,捐赠来源,Robert O. Muller Collection,donor
S2003.8.3752.6,标题,Bird-chasing festival at New Year (Tori-oi),title
F1947.5,对象类型,Manuscript,type
S2003.8.3076,标题,"Ohatsu avenging her mistress Onoe, from the series Twenty-four Accomplishments in Imperial Japan",title
F1942.4,制作时间,early 14th century,date
S2017.44.1-2a-e,对象类型,Musical Instrument,type
S2003.8.2374,标题,Lake Kawaguchi,title
FSC-P-5392,标题,Fragment of an unidentified vessel,title
FSC-T-9,标题,Storage bag (shifuku) for tea-ceremony utensil,title
S2012.9.4394a-c,捐赠来源,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",donor
S2003.8.2140,制作时间,late 19th-mid 20th century,date
S2003.8.3571,标题,Gold Gate,title
S2003.8.2897,标题,The Nightly Visits To The Beauty Komachi,title
F1912.9,对象类型,Furniture and Furnishing,type
F1917.198,捐赠来源,Gift of Charles Lang Freer,donor
F1951.15a-b,制作时间,early 15th century,date
S2003.8.632,对象类型,Print,type
S2004.70,制作时间,1850-1875,date
S2003.8.3329,捐赠来源,Robert O. Muller Collection,donor
S2003.8.130,标题,Finch On Camellia,title
S2003.8.3751,对象类型,Album,type
F1916.556,制作时间,1644-1911,date
S2003.8.230,标题,"Mukōjima, from the series Twelve Views Of Tokyo",title
S2003.8.2695,制作时间,1881/1,date
FSC-P-6406,标题,Sherd,title
FSC-P-5816,标题,Sherd,title
FSC-P-5727,对象类型,Vessel,type
S2003.8.670,制作时间,1925/2,date
S2020.1.4,制作时间,late 19th century,date
nan,标题,[Pounding rice #1052],title
FSC-P-6512,标题,Bowl,title
F1929.69,标题,"Folio from a Qur'an, sura 5:12-13",title
F1903.46a-b,捐赠来源,Gift of Charles Lang Freer,donor
FSC-P-4926,制作时间,15th-17th century,date
FSC-P-3840,标题,Pottery: Unidentified form,title
S2012.9.4374,捐赠来源,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",donor
S2003.8.1056,捐赠来源,Robert O. Muller Collection,donor
S1995.118.11,捐赠来源,Gift of M. A. Walker in memory of his sister Marion Walker,donor
S2003.8.2633,对象类型,Print,type
FSC-M-85a-c,制作时间,20th century,date
S2003.8.2152,对象类型,Print,type
F2020.5.23a-d,对象类型,Painting,type
S2003.8.760,制作时间,1931/1,date
F1917.425,制作时间,19th century,date
F1962.30,对象类型,Painting,type
S2003.8.1039,对象类型,Print,type
S2003.8.1228,标题,"Rain at Sanmaibashi in Hakone, sketched at 4 p.m. early July",title
S2003.8.2796,对象类型,Print,type
FSC-P-5311,制作时间,15th-17th century,date
S2018.1.7,对象类型,Painting,type
S2003.8.3552,对象类型,Print,type
S1986.151,标题,Folio from aShahnama(Book of kings) by Firdawsi (d. 1020); Rustam and Isfandiyar in combat,title
S2003.8.2615,标题,Satsuki,title
S2021.7.1.6,对象类型,Album,type
F2019.5.10a-d,标题,"Tanzaku with verse from Kokinshū, vol. 18 (957)",title
F1985.26,对象类型,Painting,type
S2003.8.3256,制作时间,1930s,date
S2021.5.101,对象类型,Print,type
S1997.139a-c,对象类型,Sculpture,type
S2003.8.1869,对象类型,Print,type
FSC-P-3845,标题,Pottery: Unidentified form,title
F1911.296,制作时间,mid-15th century,date
F2000.5,制作时间,14th century,date
S2003.8.1133,捐赠来源,Robert O. Muller Collection,donor
FSC-P-3469,捐赠来源,Gift of H. Otley Beyer,donor
S2003.8.1313,捐赠来源,Robert O. Muller Collection,donor
S2003.8.1841,对象类型,Print,type
nan,制作时间,circa 1904,date
F1897.13b,对象类型,Frame,type
S2003.8.3148,制作时间,early 20th century,date
F1903.296,制作时间,1185-1333,date
F1911.604,标题,Cushion cover,title
S2003.8.2524,标题,Making Tea,title
S2019.3.1896,捐赠来源,Purchase and partial gift of the Kenneth and Kiyo Hitch Collection from Kiyo Hitch with funds from the Mary Griggs Burke Endowment,donor
S2003.8.1708,对象类型,Print,type
F1913.161,对象类型,Costume and Textile,type
S2003.8.2176,捐赠来源,Robert O. Muller Collection,donor
S2003.8.993,对象类型,Print,type
FSC-P-4527,对象类型,Vessel,type
S2003.8.1575,捐赠来源,Robert O. Muller Collection,donor
S2003.8.985,标题,"Yanaginawa, Ukishima (Ibaraki prefecture)",title
S2014.19,制作时间,Second half of the 15th century,date
nan,标题,[Kanasawa],title
S2003.8.1770,标题,Kameido Garden,title
S2003.8.3346,制作时间,1906/12,date
S2003.8.527,制作时间,1936-1938,date
F1916.356,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.455,制作时间,1939/11,date
S2013.2.3,标题,"Relief with male figure, fragment",title
S2012.9.4569,标题,Brush pot,title
nan,制作时间,circa 1850-1900,date
F2018.4.38a-f,制作时间,1960s,date
FSC-P-5299,制作时间,15th-17th century,date
S2003.8.2049,捐赠来源,Robert O. Muller Collection,donor
S2013.17,制作时间,1981 (printed 1990),date
FSC-P-5716,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.2846,捐赠来源,Robert O. Muller Collection,donor
S2003.8.2185,对象类型,Print,type
F1901.99,制作时间,17th century,date
FSC-P-5334,标题,Fragment of an unidentified vessel,title
S2003.8.746,捐赠来源,Robert O. Muller Collection,donor
S2003.8.3828,标题,Actor as Banzuin Chobei,title
F1991.3a-c,对象类型,Vessel,type
